Forma grafica;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
perspect;1;2;0;1;0;2;0;0;0;2;1;6;1;1;2;2;1;2;3;0;5;1;1;3;1;4;3;1;2;1;1;1;3;7;3;5;1;3;1;0;5;2;7;4;0;1;3;3;2;3;2;3;1;5;3;4;1
success;6;4;4;4;5;2;6;4;2;3;5;9;0;3;4;4;1;2;2;1;6;5;2;3;2;1;1;0;2;1;2;0;2;2;0;0;1;1;0;0;1;3;2;2;0;0;1;2;2;1;2;2;0;1;0;1;0
subject;6;6;6;5;4;3;5;7;4;5;4;2;4;4;2;5;3;3;7;2;4;2;2;2;1;0;1;0;2;2;1;1;0;2;1;0;2;2;2;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1
implicit;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;3;1;1;0;0;0;0;1;1;1;3;1;2;1;2;2;0;2;6;7;5;5;9;9;6;5;9;1;8;1;1;0;5;3;2;3;4;4;1
life;0;0;0;0;0;0;1;0;0;2;0;0;1;0;1;1;3;2;0;2;0;7;3;2;4;2;2;3;1;2;3;3;1;4;0;1;3;4;4;1;2;4;1;2;4;2;7;3;3;4;2;3;5;4;3;5;3
assess;0;1;0;0;0;1;2;2;0;2;1;1;0;1;1;4;1;5;9;1;10;5;3;2;4;4;1;6;3;3;2;3;0;7;4;3;2;1;3;1;1;2;0;1;2;0;1;1;1;0;3;1;3;0;2;1;1
implic;0;1;3;0;0;3;0;2;0;4;1;0;1;1;2;4;0;3;2;2;1;4;3;2;1;2;1;3;5;1;4;7;5;2;6;0;4;3;3;0;3;2;4;2;4;1;1;1;1;3;2;1;1;2;1;4;0
intergroup;1;1;1;1;1;0;0;1;2;1;3;2;0;1;0;3;1;0;1;0;1;0;0;0;3;0;0;2;2;1;2;5;3;4;2;4;5;3;3;2;2;3;5;6;4;2;5;3;4;3;1;1;1;1;7;5;3
adolesc;3;1;2;0;1;1;1;0;0;0;1;2;0;2;0;1;5;4;4;4;4;5;2;2;4;3;2;1;1;5;3;4;0;4;1;1;1;1;4;1;1;1;1;3;2;1;0;2;4;3;4;2;2;2;3;4;1
base;0;0;0;0;0;0;1;0;1;1;0;1;1;1;2;2;3;4;5;2;2;3;6;1;4;7;3;3;0;4;1;3;1;2;1;1;5;5;0;5;4;3;1;6;2;1;1;2;0;2;2;3;1;3;2;2;1
ident;1;1;0;0;0;1;0;0;3;0;0;0;0;0;2;1;1;5;3;7;3;4;2;0;0;1;3;0;1;1;4;4;2;3;0;3;0;3;3;0;6;1;1;2;7;3;4;5;4;4;1;3;3;2;4;2;2
persuas;6;2;2;3;4;5;1;2;0;5;2;4;3;1;4;4;4;3;5;3;1;2;5;3;2;2;1;3;3;0;0;2;0;0;3;1;0;4;3;4;1;2;2;1;1;1;1;1;0;1;0;1;0;0;1;1;0
comparison;5;4;2;3;0;4;1;4;1;2;2;0;0;3;2;4;3;7;6;5;5;5;3;3;0;2;2;0;1;3;2;2;0;2;3;3;3;7;1;0;0;2;1;2;0;1;1;1;0;0;1;0;0;0;0;0;2
decis;3;0;2;2;3;2;4;1;2;6;7;5;0;5;1;0;3;2;2;1;3;3;5;3;0;3;4;3;1;3;0;0;2;2;1;2;1;2;2;0;0;2;4;4;1;1;1;2;1;1;0;2;0;3;1;1;0
context;1;1;0;1;0;1;0;2;2;1;2;0;0;1;1;1;0;1;2;2;2;2;3;4;4;2;3;1;4;5;1;3;4;4;1;3;7;3;4;2;0;2;2;3;2;4;2;2;3;1;3;1;1;0;2;3;2
